year,date,title,author,level,google_drive_id,filename
2015-16,2015-10-02,Complexity Theory (Bronze),"Hariank Muthakana, Nate Foss",,,Complexity_Theory__Bronze_.pdf
2015-16,2015-10-16,Sample I/O,SCT Officers,Beginner,0B84cCW3wbL7fTWRRTVBWdHFhc2M,SCT_Sample_IO.pdf
2015-16,2015-10-16,Graph Theory Review,Samuel Hsiang,Beginner,0B84cCW3wbL7fUnFWZVRnbHJVeEk,SCT_Graph_Theory_Review.pdf
2015-16,2015-10-16,Tarjan's Algorithm,Samuel Hsiang,Advanced,0B84cCW3wbL7fOThxQmhIZDlLRjA,SCT_Tarjans_Algorithm.pdf
2015-16,2015-11-13,Maximum Flow,Samuel Hsiang,,0B84cCW3wbL7fckgyaHRTczEteFU,SCT_Maximum_Flow.pdf
2015-16,2015-12-04,2^n Dynamic Programming and Masking,Samuel Hsiang,,0B84cCW3wbL7feGFWUVlLR2plc2c,SCT_2_n_Dynamic_Programming.pdf
2015-16,2015-12-11,√n Bucketing and Segment Tree,Samuel Hsiang,,0B84cCW3wbL7fQl9zVUpZVHZzTDQ,SCT_Segment_Tree.pdf
2015-16,2016-02-12,Dynamic Programming,Jason Lam,,0B84cCW3wbL7fbzdLQno1MXdsdHc,SCT_Dynamic_Programming.pdf
2015-16,2016-03-11,Union-Find and Kruskal,Samuel Hsiang,,0B84cCW3wbL7fbVRFU2FWQnptOHM,SCT_DSU.pdf
2015-16,2016-04-29,Aho-Corasick,Lawrence Wang,Guest lecture,0B84cCW3wbL7fYWN6WHlFZzhjZGs,SCT_Aho_Corasick.pdf
2015-16,2016-05-05,Segment Tree (and its variants),"Wassim Omais, Shwetark Patel",Guest lecture,,
2015-16,2016-05-05,Hashing,Kevin Geng,Guest lecture,0B84cCW3wbL7fa1BLenNyOHUtZkE,SCT_Hashing.pdf
2015-16,2016-05-13,Fast Multiplication: Karatsuba and FFT,Haoyuan Sun,Guest lecture,0B84cCW3wbL7fUVpVTTVLbDVPcG8,SCT_Polynomial.pdf
2015-16,2016-05-13,Nondeterministic Algorithms,"Jerry Huang, Justin Zhang",Guest lecture,0B84cCW3wbL7fUUZoYnlqam1lZ0E,SCT_Nondeterministic_Algorithms.pdf
2015-16,2016-05-17,Kevin and Trees,Franklyn Wang,Guest lecture,0B84cCW3wbL7fTG5oeXBuRFROeWM,SCT_Kevin_and_Trees.pdf
2015-16,2016-06-03,Cycle Finding,Charles Zhao,Guest lecture,,
,,,,,,
2016-17,2016-09-23,Orientation Lecture,SCT Officers,,0B84cCW3wbL7fWGwxTVRrZ1FadjA,2016-09-23_Orientation.pdf
2016-17,2016-09-30,Computational Complexity,Charles Zhao,Beginner,0B84cCW3wbL7fb2lEZXQzc3RTQ2c,2016-09-30_Computational_Complexity.pdf
2016-17,2016-09-30,Union-Find,Kevin Geng,Advanced,0B84cCW3wbL7fdnFFNF9ESk5CTTA,2016-09-30_Union_Find.pdf
2016-17,2016-10-03,Elementary Algorithms,Kevin Geng,Beginner,0B84cCW3wbL7fd1N6RWQxRjEtNmM,2016-10-03_Elementary_Algorithms.pdf
2016-17,2016-10-03,Minimum Spanning Trees,"Larry Wang, Charles Zhao",Advanced,0B84cCW3wbL7fT0s2N3dfU3VVTk0,2016-10-03_MST.pdf
2016-17,2016-10-21,Recursion and DFS,Kevin Geng,Beginner,0B84cCW3wbL7fbkRrU2Z2MXNzdzQ,2016-10-21_Recursion_and_DFS.pdf
2016-17,2016-10-21,LCA and 2^n Jump Pointers,Larry Wang,Advanced,0B84cCW3wbL7fUVZlUGJna3ZQWEE,2016-10-21_LCA_and_2_n_Jump_Pointers.pdf
2016-17,2016-10-28,Shortest Paths,Kevin Geng,Beginner,0B84cCW3wbL7fUWw0ZWJENFA1aEk,2016-10-28_Shortest_Paths.pdf
2016-17,2016-10-28,Segment Trees,Charles Zhao,Advanced,0B84cCW3wbL7fYjZIOVJaaVNCRVU,2016-10-28_Segment_Trees.pdf
2016-17,2016-11-11,String Searching,"Larry Wang, Charles Zhao",,0B84cCW3wbL7fak5lMTZ2TV9UbEk,2016-11-11_String_Searching.pdf
2016-17,2016-12-02,Introduction to Dynamic Programming,Charles Zhao,Beginner,0B84cCW3wbL7fRmZHemFCbEc5Z2s,2016-12-02_Intro_Dynamic_Programming.pdf
2016-17,2016-12-02,2^n Dynamic Programming,"Lawrence Wang, Kevin Geng",Advanced,0B84cCW3wbL7fUVJfanhvSnctTUE,2016-12-02_Advanced_Dynamic_Programming.pdf
2016-17,2016-12-08,Programming Language Tips,Kevin Geng,,0B84cCW3wbL7feTVLMWE0MG9MeHM,2016-12-08_Programming_Language_Tips.pdf
2016-17,2016-12-16,Line Sweep,Kevin Geng,,0B84cCW3wbL7faWZIV095TVBHZjA,2016-12-16_Computational_Geo.pdf
2016-17,2017-01-13,More Segment Trees,Kevin Geng,Advanced,0B84cCW3wbL7fdUZRaXdEbkpuVVU,2017-01-13_More_Segment_Trees.pdf
2016-17,2017-01-27,Strongly Connected Components,"Kevin Geng, Lawrence Wang",,0B84cCW3wbL7fTnZFQ2gwdGJIcHc,2017-01-27_Strongly_Connected_Components.pdf
2016-17,2017-02-17,Splay Trees,"Kevin Geng, Lawrence Wang",,0B84cCW3wbL7fXzRLeVVyTEhjZDg,2017-02-17_Splay_Trees.pdf
2016-17,2017-03-31,Eulerian Tours,Kevin Geng,Beginner,0B84cCW3wbL7fdDRaVGJwcW5fZnc,2017-03-31_Eulerian_Tours.pdf
2016-17,2017-04-21,Random Number Generators,Jerry Huang,Guest lecture,,
2016-17,2017-04-28,Pathfinding in Continuous Space,Daniel Wisdom,Guest lecture,0B84cCW3wbL7fNTk2clI3dW96T0E,2017-04-28_Continuous_Space_Pathfinding.pdf
2016-17,2017-05-04,Shortest Paths,Arnav Bansal,Guest lecture,0B84cCW3wbL7fNktuXy1HalBwc3c,2017-05-04_Shortest_Paths.pdf
2016-17,2017-05-04,Simplifying Problems,Katherine Cheng,Guest lecture,,
2016-17,2017-05-12,Bloom Filters and Skip Lists,Srinidhi Krishnamurthy,Guest lecture,0B84cCW3wbL7fVmlXd1pIS3VTSHc,2017-05-12_Skip_Lists_Bloom_Filters.pdf
2016-17,2017-05-12,Image Segmentation,Mihir Patel,Guest lecture,0B84cCW3wbL7fNGgtMzg5YnYyZGc,2017-05-12_Image_Segmentation.pdf
2016-17,2017-05-24,Suffix Arrays,Justin Zhang,Guest lecture,0B84cCW3wbL7fSnlMVmI4ZE1oVzQ,2017-05-24_Suffix_Arrays.pdf
2016-17,2017-06-02,Aho-Corasick,Neil Thistlethwaite,Guest lecture,0B84cCW3wbL7faF9ya19hRUNURDg,2017-06-02_Aho_Corasick.pdf
2016-17,2017-06-02,Heavy-Light Decomposition,Wassim Omais,Guest lecture,,
,,,,,,
2017-18,2017-09-15,Orientation,SCT Officers,All,0B84cCW3wbL7fUU9mUTZ4UUVXOXc,2017-09-15_Orientation.pdf
2017-18,2017-09-18,Contest Programming Intro,Srinidhi Krishnamurthy and Mihir Patel,Beginner,0B84cCW3wbL7feUROeHg3QjJqSW8,2017-09-18_Beginners_1:_Contest_Programming_Intro.pdf
